order_number,order_type,department,order_date,inspection_date_started,inspection_date_completed,buyer_name,shipper_name,vessel_carrier,bill_of_lading,bill_of_lading_date,inspection_place,client_ref_code,client_trade_name,client_Name,client_address,client_address,client_address,contact_name,contact_phone,contact_email,commodity_name,item_description,quantity,unit_name
ICG15-050,International,CG,4/3/2015,6/3/2015,6/3/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,conts,,,Da Nang,CMi1502-0890,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,SANITARY WARE,SANITARY WARE,4,Cont(s)
ICG15-051,International,CG,4/3/2015,6/3/2015,6/3/2015,ECASOL…,ANAIS S.A.S (FRANCE),cont,,,MALAYSIA,CMi1409-2728-5,ANAIS S.A.S.,ANAIS S.A.S.,"ZA des Morands – Rue Maurice, Herbinet 71210MONTCHANIN, Francia.PHONE NUMBER: +33 0385781625EMAIL: SBOLLETEAU@ANAIS-FI.COM","ZA des Morands – Rue Maurice, Herbinet 71210MONTCHANIN, Francia.PHONE NUMBER: +33 0385781625EMAIL: SBOLLETEAU@ANAIS-FI.COM","ZA des Morands – Rue Maurice, Herbinet 71210MONTCHANIN, Francia.PHONE NUMBER: +33 0385781625EMAIL: SBOLLETEAU@ANAIS-FI.COM",,,,DEEP FRYING OIL ECASOL,DEEP FRYING OIL ECASOL,2,Cont(s)
ICG15-052,International,CG,4/3/2015,9/3/2015,11/3/2015,CORPORACION CIMEX S.A,VICO COMPANY LIMITED,CONT,,,HAIPHONG,CMi1306-2029-18,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Detergent,DETERGENT,15,Cont(s)
ICG15-053,International,CG,4/3/2015,19/04/2015,23/05/2015,CORPORACION CIMEX S.A,VICO COMPANY LIMITED,conts,,,,CMi1306-2029-19,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Detergent,DETERGENT,20,Cont(s)
ICG15-054,International,CG,4/3/2015,8/3/2015,10/3/2015,TRD - CUBA,VIGLACERA CERAMIC TITES TRADING JOINT STOCK COMPANY,con,,,hanoi - thai binh,CMi1501-0053-3,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CERAMIC TILES,ceramic,20,Cont(s)
ICG15-055,International,CG,4/3/2015,7/3/2015,11/3/2015,TRD - CUBA,THAI THINH SHOES CORP.,cont,,,HO CHI MINH CITY,CMi1501-0476-2,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Electric Fan,ELECTRIC FAN,18,Cont(s)
ICG15-056,International,CG,4/3/2015,6/3/2015,6/3/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,cont,,,HCMC,CMi1502-1002,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,REFRIGATORS,REFRIGATORS,7,Cont(s)
ICG15-057,International,CG,4/3/2015,6/3/2015,7/3/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,cont,,,Y MY -  BINH DUONG & DONG NAI,CMi1211-3606-73,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CERAMIC TILES,CERAMIC TILES,40,Cont(s)
ICG15-058,International,CG,4/3/2015,7/3/2015,10/3/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,cont,,,DONG NAI,CMi1501-0477-4,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Detergent,DETERGENT,10,Cont(s)
ICG15-059,International,CG,4/3/2015,9/3/2015,9/3/2015,TRD - CUBA,"NHAT TRANG TRADE & TOURISM CO., LTD",con,,,HUNG YEN,CMi1501-0071-2,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,NOTEBOOKS,NOTEBOOKS,1,Cont(s)
ICG15-060,International,CG,14/03/2015,10/3/2015,10/3/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONT,,,HO CHI MINH CITY,CMi1501-0116-2,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,PVC DOOR,PVC DOOR,3,Cont(s)
ICG15-061,International,CG,14/03/2015,18/03/2015,18/03/2015,TRD - CUBA,TAN VIET INTERNATIONAL,CONT,,,THAILAND,CMi1410-3195-3,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,SWEET CHILLI SAUCE 200G & 900G,SWEET CHILLI SAUCE 200G & 900G,1,Cont(s)
ICG15-062,International,CG,14/03/2015,24/03/2015,24/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,HANOI,CMi1503-1104,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,"	ELECTRIC FAN","	ELECTRIC FAN",5,Cont(s)
ICG15-063,International,CG,14/03/2015,12/3/2015,14/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,Y MY -  BINH DUONG & DONG NAI,CMi1211-3606-74,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CERAMIC TILES,CERAMIC TILES,40,Cont(s)
ICG15-064,International,CG,14/03/2015,14/03/2015,14/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,HOC CHI MINH CITY,CMi1502-0892,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,STATIONERY,STATIONERY,1,Cont(s)
ICG15-065,International,CG,14/03/2015,16/03/2015,18/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,DONG NAI,CMi1501-0477-5,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Detergent,DETERGENT,12,Cont(s)
ICG15-066,International,CG,14/03/2015,17/03/2015,17/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONT,,,HO CHI MINH CITY,CMi1501-0212-2,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,ACCESSRIES & ELECTRIC,ACCESSRIES & ELECTRIC,2,Cont(s)
ICG15-067,International,CG,18/03/2015,19/03/2015,19/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONT,,,HO CHI MINH CITY,CMi1503-1311,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,MIRROR,MIRROR,1,Cont(s)
ICG15-068,International,CG,18/03/2015,2/4/2015,3/4/2015,MAPRINTER,CASABLANCA S.A,CONT,,,INDONESIA,CMi1503-1302,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CARTULINA BRISTOL 180-250G,CARTULINA BRISTOL 180-250G,1,Cont(s)
ICG15-069,International,CG,18/03/2015,28/04/2015,28/05/2015,CORPORACION COPEXTEL SA,GRUPO ONUX S.A,CONTS,,,INDONESIA,CMi1503-1310,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,PAPER,PAPER,1,Cont(s)
ICG15-070,International,CG,21/03/2015,20/03/2015,23/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,Y MY -  BINH DUONG & DONG NAI,CMi1211-3606-75,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CERAMIC TILES,CERAMIC TILES,42,Cont(s)
ICG15-071,International,CG,21/03/2015,21/03/2015,23/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONT,,,NET CO. - DONG NAI,CMi1501-0477-6,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Detergent,DETERGENT,12,Cont(s)
ICG15-072,International,CG,21/03/2015,25/02/2015,25/02/2015,CORPORACION CIMEX S.A,INTERNATIONAL CARIBBEAN SUPPLIES S.A,CONT,,,INDONESIA,CMi1411-2658-5,"INTERNATIONAL CARIBBEAN SUPPLIER, S.A. (ICS, S.A)","INTERNATIONAL CARIBBEAN SUPPLIER, S.A. (ICS, S.A)","Edif. Ocean Business Plaza Torre Banesco, Piso 17 Oficina 1706 Panama","Edif. Ocean Business Plaza Torre Banesco, Piso 17 Oficina 1706 Panama","Edif. Ocean Business Plaza Torre Banesco, Piso 17 Oficina 1706 Panama",,,,SOAP,SOAP,5,Cont(s)
ICG15-073,International,CG,21/03/2015,10/4/2015,10/4/2015,CIMEX SA,T.J.P INTERNATIONAL SA,CONT,,,MALAYSIA,CMi1503-1244,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,EDIBLE FAT,EDIBLE FAT,1,Cont(s)
ICG15-074,International,CG,21/03/2015,26/03/2015,26/03/2015,CIMEX SA,COMERCIAL WHITERHORN S.A,CONT,,,MALAYSIA,CMi1503-1219,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CONDENSED MILK,CONDENSED MILK,2,Cont(s)
ICG15-075,International,CG,25/03/2015,25/03/2015,26/03/2015,,,CONT,,,INDONESIA,CMi1503-0377,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Accessories,HOME ACCESSORIES & GLASSWEAR,1,Cont(s)
ICG15-076,International,CG,25/03/2015,24/03/2015,25/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONT,,,BINH DUONG,CMi1503-1217,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,SOAP,SOAP,5,Cont(s)
ICG15-077,International,CG,25/03/2015,25/03/2015,25/03/2015,QUIMINPEX,"CABRERA Y PEREZ, S.L",CONT,,,HCMC,CMi15-02-0932,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,MEDICIAL - OXYGENT CYLINE,MEDICIAL - OXYGENT CYLINE,5,Cont(s)
ICG15-078,International,CG,25/03/2015,27/03/2015,27/03/2015,TRD - CUBA,TAICHI HOLDING LIMITED,CONT,,,THAILAND,CMi1503-1316,MAREGINA INVESTMENT INC.,MAREGINA INVESTMENT INC.,"Calle A Quizado y Ave Nacional, La Calidonia, Ciudad Panamá, Panamá.","Calle A Quizado y Ave Nacional, La Calidonia, Ciudad Panamá, Panamá.","Calle A Quizado y Ave Nacional, La Calidonia, Ciudad Panamá, Panamá.",,,,EXHANST FANS,EXHANST FANS,1,Cont(s)
ICG15-079,International,CG,25/03/2015,1/4/2015,1/4/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,,,,HOC CHI MINH CITY,CMi1503-1212,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,SOUP VIFON BRAND,SOUP VIFON BRAND,5,Cont(s)
ICG15-080,International,CG,31/03/2015,27/03/2015,28/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,Y MY -  BINH DUONG,CMi1211-3606-76,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CERAMIC TILES,CERAMIC TILES,24,Cont(s)
ICG15-081,International,CG,31/03/2015,28/03/2015,30/03/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,DONG NAI,CMi1501-0477-7,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Detergent,DETERGENT,12,Cont(s)
ICG15-082,International,CG,31/03/2015,20/04/2015,21/04/2015,TRD - CUBA,LG ELECTRONICS - THAILAND,CONTS,,,THAILAND,CMi1503-1494,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Washing Machine (Model-701N),WASHING MACHINE,11,Cont(s)
ICG15-083,International,CG,31/03/2015,30/03/2015,30/03/2015,TRD - CUBA,TUAN VIET SHOES,CONT,,,DONG NAI,CMi1503-1282,,,,,,,,,SPORT SHOES,SPORT SHOES,1,Cont(s)
ICG15-084,International,CG,31/03/2015,22/04/2015,24/04/2015,MAPRINTER,CASABLANCA S.A,CONT,,,INDONESIA,CMi1503-1524,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,WR 5%,PAPER,11,Cont(s)
ICG15-085,International,CG,31/03/2015,9/4/2015,10/4/2015,MAPRINTER,VELAMAR IMPORTACION - EXPORTACION S.L,CONT,,,MALAYSIA,CMi1501-0427-2,VELAMAR IMPORTACIÓN-EXPORTACIÓN S.L.,VELAMAR IMPORTACIÓN-EXPORTACIÓN S.L.,C/Conde de Lemos no 8 bajo- 28013 - Madrid. - Spain,C/Conde de Lemos no 8 bajo- 28013 - Madrid. - Spain,C/Conde de Lemos no 8 bajo- 28013 - Madrid. - Spain,,,,PLEXLINK 125 GN,PLEXLINK 125,2,Cont(s)
ICG15-086,International,CG,31/03/2015,1/4/2015,2/4/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONT,,,Y MY -  BINH DUONG & DONG NAI,CMi1211-3606-77,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CERAMIC TILES,CERAMIC TILES,20,Cont(s)
ICG15-087,International,CG,31/03/2015,1/4/2015,1/4/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,TAN HAN VUON COMPANY,CMi1501-0116-3,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,PVC DOOR,PVC DOOR,3,Cont(s)
ICG15-088,International,CG,31/03/2015,4/4/2015,4/4/2015,GRUPO EMPRESARIAL COMERCIALIZADORA ITH,T.J.P INTERNATIONAL SA,CONTS,,,MALAYSIA,CMi1501-0148,,,,,,,,,RBD OLEINA PALMA (CP8),RBD OLEINA PALMA (CP8),3,Cont(s)
ICG15-089,International,CG,1/4/2015,3/4/2015,3/4/2015,GRUPO EMPRESARIAL COMERCIALIZADORA ITH,T.J.P INTERNATIONAL SA,CONT,,,MALAYSIA,CMi1412-3820,,,,,,,,,RBD OLEINA PALMA (CP8),RBD OLEINA PALMA (CP8),4,Cont(s)
ICG15-090,International,CG,7/4/2015,2/4/2015,3/4/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,DONG NAI,CMi1502-0956-2,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Detergent,DETERGENT,7,Cont(s)
ICG15-091,International,CG,7/4/2015,20/04/2015,20/04/2015,TRD - CUBA,LG ELECTRONICS - THAILAND,CONTS,,,THAILAND,CMi1503-1496,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Washing Machine (Model-701N),WASHING MACHINE,5,Cont(s)
ICG15-092,International,CG,7/4/2015,,,GRUPO EMPRESARIAL COMERCIALIZADORA ITH,T.J.P INTERNATIONAL SA,CONTS,,,,CMi1402-0633-11,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,Shortening & Margarine,SHORTENING & FUFF PASTRY,1,Cont(s)
ICG15-093,International,CG,7/4/2015,8/4/2015,9/4/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONT,,,BINH DUONG & DONG NAI,CMi1211-3606-78,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CERAMIC TILES,CERAMIC TILES,24,Cont(s)
ICG15-094,International,CG,14/04/2015,10/4/2015,10/4/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONTS,,,LONGAN & HCMC,CMi1502-0486-2,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,VELOCIPEDES,VELOCIPEDES,2,Cont(s)
ICG15-095,International,CG,14/04/2015,13/04/2015,13/04/2015,EMPRESA COMERCIAL DUJO,EURICOM S.P.A,CONTS,,,INDONESIA,CMi1411-3506-3,EURICOM SPA,EURICOM SPA,"VIA STAZIONE 119, 27020  VALLE LOMELLINA (PV) - ITALY","VIA STAZIONE 119, 27020  VALLE LOMELLINA (PV) - ITALY","VIA STAZIONE 119, 27020  VALLE LOMELLINA (PV) - ITALY",,,,DEEP FRYING OIL ECASOL,DEEP FRYING OIL ECASOL,1,Cont(s)
ICG15-096,International,CG,14/04/2015,14/04/2015,14/04/2015,TRD - CUBA,TUAN VIET SHOES,CONTS,,,DONG NAI,CMi1504-1437,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,SPORT SHOES,SPORT SHOES,1,Cont(s)
ICG15-097,International,CG,14/04/2015,14/04/2015,17/04/2015,TRD - CUBA,THAI BINH INVESTMENT TRADING CORPORATION,CONT,,,DONG NAI & BINH DUONG,CMi1211-3606-79,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,CERAMIC TILES,CERAMIC TILES,32,Cont(s)
